Acc_ratio,mu_excess,P,rho,Eq time,Wp time
0.8,-0.188449,0.08006,0.02,3.277606,0.011509
0.815,-0.255017,0.120162,0.03,3.356013,0.011328
0.85,-0.515511,0.159962,0.04,3.256926,0.011697
0.76,-0.647523,0.19993,0.05,3.735061,0.011288
0.73,-0.677139,0.239197,0.06,3.402234,0.015524
0.685,-0.827729,0.281491,0.07,3.402234,0.011477
0.66,-0.913742,0.322052,0.08,3.740286,0.014624
0.62,-1.004755,0.360039,0.09,3.660774,0.011455
0.585,-1.220769,0.397389,0.1,3.81896,0.013943
0.565,-1.294709,0.444104,0.11,3.749484,0.012488
0.56,-1.307306,0.486542,0.12,3.879241,0.013591
0.535,-1.511746,0.513015,0.13,3.648086,0.013672
0.515,-1.59409,0.55731,0.14,3.603343,0.014826
0.53,-1.599608,0.586696,0.15,4.207546,0.012798
0.49,-1.833221,0.618415,0.16,3.768955,0.013836
0.495,-1.839979,0.666398,0.17,3.536187,0.011306
0.4,-1.877762,0.697564,0.18,3.354429,0.011789
0.435,-1.997227,0.75255,0.19,3.32298,0.011432
0.415,-2.093365,0.83529,0.2,3.31524,0.011479
0.42,-2.149528,0.885907,0.21,3.287119,0.011367
0.335,-2.366577,0.878201,0.22,3.296038,0.011406
0.39,-2.564163,0.932046,0.23,3.299308,0.011354
0.26,-2.603433,1.020937,0.24,3.302242,0.012102
0.32,-2.890157,1.069787,0.25,3.256549,0.011312
0.265,-2.596527,1.057034,0.26,3.517161,0.011639
0.32,-2.778044,1.147962,0.27,3.271864,0.011445
0.25,-2.908708,1.162463,0.28,3.264522,0.012145
0.215,-3.049185,1.223634,0.29,3.304033,0.0113
0.225,-3.158132,1.318568,0.3,3.293427,0.011314
0.23,-3.566837,1.511203,0.31,3.639152,0.012303
0.26,-3.18917,1.308189,0.32,3.670378,0.011492
0.19,-4.009463,1.373135,0.33,3.581073,0.014576
0.15,-3.413736,1.680935,0.34,3.701501,0.013632
0.18,-3.982326,1.836849,0.35,3.501955,0.011541
0.16,-3.887364,1.541313,0.36,3.785593,0.011858
0.13,-3.618158,1.653488,0.37,3.283178,0.011456
0.185,-4.298912,1.713943,0.38,3.558088,0.011849
0.14,-3.518052,1.78671,0.39,3.340559,0.011414
0.165,-4.259073,1.81056,0.4,3.355002,0.011439
0.085,-4.555995,1.89842,0.41,3.293525,0.011324
0.105,-4.524486,1.895469,0.42,4.045957,0.011913
0.085,-3.642504,1.868471,0.43,3.681124,0.014725
0.115,-4.672015,2.152645,0.44,3.812005,0.013415
0.11,-4.084073,2.337897,0.45,3.866338,0.011868
0.075,-5.520368,2.392441,0.46,3.557096,0.014687
0.065,-5.267296,2.640783,0.47,3.539498,0.011216
0.07,-4.717364,2.235438,0.48,3.46025,0.011212
0.04,-4.454628,2.237494,0.49,3.792165,0.013801
0.065,-3.713833,2.717428,0.5,3.716841,0.011292
0.045,-5.12043,2.631112,0.51,3.368494,0.011454
0.04,-5.697702,3.158008,0.52,3.275762,0.011203
0.05,-5.620768,2.640277,0.53,3.954431,0.013872
0.03,-6.412351,3.34738,0.54,3.7942,0.011324
0.04,-5.279639,3.194792,0.55,3.909677,0.011605
0.04,-6.541214,3.548333,0.56,3.393247,0.01166
0.035,-5.053728,3.813801,0.57,3.67714,0.011635
0.06,-5.755066,4.362649,0.58,3.404857,0.015754
0.03,-7.200325,4.164381,0.59,3.74864,0.01259
0.04,-6.84882,3.849974,0.6,3.521937,0.01124
0.015,-5.285877,4.526556,0.61,3.928754,0.01239
0.02,-6.58243,4.910573,0.62,3.400545,0.011213
0.015,-5.770057,5.043238,0.64,3.749267,0.016144
0.015,-7.34095,4.295639,0.65,4.041921,0.010967
0.01,-6.057705,5.131809,0.67,3.55531,0.011348
0.015,-7.960313,4.912483,0.68,3.339049,0.011104
0.005,-1.260139,7.045063,0.69,3.266348,0.01057